Country,venue_city,diaspora_pop,total_foreign_born,diaspora_conc
South Africa,Orlando,823,552967,0.0014883347469197982
Cape Verde,Orlando,21,552967,3.7976949799897644e-5
Ghana,Orlando,687,552967,0.0012423887863109372
Côte d'Ivoire,Orlando,39,552967,7.052862105695276e-5
Nigeria,Orlando,1494,552967,0.002701788714335575
Senegal,Orlando,93,552967,1.6818363482811813e-4
Australia,Orlando,283,552967,5.117846092081445e-4
Haiti,Orlando,45460,552967,0.08221105418587366
Costa Rica,Orlando,1845,552967,0.00333654630384815
Guatemala,Orlando,9861,552967,0.017832890570323365
Honduras,Orlando,7600,552967,0.013744038975201052
Mexico,Orlando,24605,552967,0.04449632618221341
Panama,Orlando,3209,552967,0.005803239614660549
Argentina,Orlando,3708,552967,0.006705644278953355
Bolivia,Orlando,536,552967,9.693164329878637e-4
Brazil,Orlando,33611,552967,0.06078301236782665
Chile,Orlando,2307,552967,0.004172039199445898
Colombia,Orlando,46810,552967,0.0846524295301528
Ecuador,Orlando,7849,552967,0.01419433709425698
Peru,Orlando,11435,552967,0.020679353379134742
Uruguay,Orlando,1345,552967,0.0024323332133743968
Venezuela,Orlando,66439,552967,0.1201500270359714
Canada,Orlando,8418,552967,0.015223331591216112
Belgium,Phoenix,373,684927,5.445835833599786e-4
France,Phoenix,2700,684927,0.003942025938530676
Germany,Phoenix,8550,684927,0.012483082138680473
Netherlands,Phoenix,1246,684927,0.0018191719701515635
Portugal,Phoenix,540,684927,7.884051877061351e-4
Spain,Phoenix,1175,684927,0.0017155112880642754
Japan,Phoenix,3801,684927,0.005549496515687073
South Korea,Phoenix,9061,684927,0.013229147047787574
India,Phoenix,41210,684927,0.060166995898833016
Iran,Phoenix,4769,684927,0.0069627858151306635
Philippines,Phoenix,24285,684927,0.03545633330267313
Cameroon,Phoenix,680,684927,9.92806532666985e-4
Morocco,Phoenix,525,684927,7.665050436031869e-4
South Africa,Phoenix,1732,684927,0.002528736639087085
Cape Verde,Phoenix,16,684927,2.336015370981141e-5
Ghana,Phoenix,680,684927,9.92806532666985e-4
Côte d'Ivoire,Phoenix,86,684927,1.2556082619023633e-4
Nigeria,Phoenix,3477,684927,0.005076453403063392
Senegal,Phoenix,201,684927,2.9346193097950585e-4
Australia,Phoenix,1357,684927,0.00198123303651338
